id,gender,age,marathonTime,marNum2016,marNum2015,marNum2014,marNum2013,marNum2012,otherNum2012,otherNum2013,otherNum2014,otherNum2015,otherNum2016,continue2014
76,Female,35,282.98333333333335,0,0,1,0,0,0,0,0,0,1,2
77,Female,50,0,0,0,0,0,0,0,0,0,1,0,4
78,Female,35,268.5,0,1,0,0,0,0,0,0,0,0,3
79,Male,50,338.18333333333334,0,1,0,0,0,0,0,0,0,0,3
80,Female,50,458.5,0,1,0,0,0,0,0,0,0,0,3
81,Male,30,0,0,0,1,0,0,0,1,0,0,0,2
82,Male,50,289.7,0,0,1,0,0,0,0,0,0,0,2
83,Male,40,0,0,0,0,0,0,0,0,1,0,0,4
84,Female,25,237.13333333333333,0,0,0,0,1,2,1,0,0,0,4
85,Male,50,311.9,0,0,1,0,0,0,0,1,0,0,2
86,Male,30,432.81666666666666,0,0,1,0,0,0,0,0,0,0,2
87,Female,30,0,0,0,0,0,0,0,0,0,2,0,4
88,Female,35,0,0,0,0,0,0,0,0,0,1,0,4
89,Male,30,275.71666666666664,0,1,0,0,0,0,0,0,0,0,3
90,Male,40,214.7,0,1,0,0,0,0,0,0,0,0,3
91,Male,40,270.55,0,0,1,0,0,0,0,0,0,0,2
92,Male,45,269.9166666666667,0,0,0,1,0,0,0,3,1,0,4
93,Male,50,200.76666666666668,0,0,1,0,1,0,0,0,0,0,2
94,Female,40,330.3833333333333,0,0,1,0,0,0,0,0,0,0,2
95,Female,35,0,0,0,0,0,0,0,0,0,2,0,4
96,Male,50,294.81666666666666,0,0,0,1,1,1,0,2,1,0,4
97,Male,35,405.25,0,0,1,0,0,0,0,0,0,0,2
98,Male,40,285.5833333333333,0,0,0,0,1,0,0,0,0,0,4
99,Male,35,323.54999999999995,1,1,0,0,0,0,0,0,0,0,3
100,Female,40,0,0,0,0,0,0,0,3,0,1,0,4
101,Male,18,259.28333333333336,0,0,1,0,0,0,0,0,0,0,2
102,Male,45,297.8833333333333,0,0,0,1,0,0,0,0,0,0,4
103,Male,30,227.18333333333334,0,0,0,1,0,1,0,0,2,0,4
104,Female,45,306.98333333333335,0,0,1,0,0,0,2,3,0,0,2
105,Female,18,362.78333333333336,0,0,1,0,0,1,1,0,0,0,2
106,Female,20,360.93333333333334,0,0,1,0,0,1,1,1,0,0,2
107,Male,45,241.76666666666668,0,0,0,0,1,0,0,0,0,0,4
108,Male,25,231.26666666666668,0,0,1,0,0,0,0,0,0,0,2
109,Male,50,0,0,0,0,0,0,0,0,0,2,0,4
110,Male,18,245.6,0,1,0,0,0,0,0,0,0,0,3
111,Female,30,221.0,0,0,0,1,0,0,0,0,0,0,4
112,Female,25,0,0,0,0,0,0,0,0,0,1,0,4
113,Male,35,296.4,0,1,0,0,0,0,0,0,0,0,3
114,Male,40,259.06666666666666,0,0,0,0,1,3,6,1,1,0,4
115,Male,35,331.8833333333333,0,1,0,0,0,0,0,0,0,0,3
116,Female,55,255.63333333333333,0,0,0,1,0,0,0,0,0,0,4
117,Male,30,340.8333333333333,0,1,0,0,0,0,0,0,0,2,3
118,Female,18,0,0,0,0,0,0,0,0,0,1,0,4
119,Male,50,0,0,0,0,0,0,0,0,0,1,0,4
120,Female,30,397.1333333333333,0,0,1,0,0,0,0,1,0,0,2
121,Male,25,266.3833333333333,0,0,0,1,0,2,0,2,0,1,4
122,Male,20,243.31666666666666,0,0,0,1,0,1,3,0,1,0,4
123,Female,45,273.9,0,0,0,1,0,0,0,0,0,0,4
124,Female,40,247.85,0,1,0,0,0,0,0,0,0,0,3
125,Male,30,219.01666666666668,0,0,0,1,0,0,0,0,0,0,4
126,Male,30,242.16666666666666,0,0,0,1,0,0,0,0,0,0,4
127,Male,55,270.8833333333333,0,0,1,1,0,0,0,0,0,0,2
128,Female,16,263.53333333333336,0,0,0,1,0,2,0,0,0,0,4
129,Male,40,244.05,0,1,0,0,0,1,0,1,1,1,3
130,Male,30,207.28333333333333,0,0,0,0,1,0,0,0,0,0,4
131,Male,30,266.25,0,0,0,1,0,0,0,0,0,0,4
132,Female,50,279.71666666666664,0,0,0,1,1,2,2,4,0,1,4
133,Male,25,233.18333333333334,0,0,0,1,0,0,0,0,0,0,4
134,Male,50,232.01666666666668,0,0,0,1,0,0,0,0,0,0,4
135,Male,25,0,0,0,0,0,0,0,0,0,1,0,4
136,Male,13,0,0,0,0,0,0,0,0,0,1,0,4
137,Male,30,251.15,0,0,0,1,0,2,1,2,3,2,4
138,Male,40,356.4,0,1,0,0,0,0,0,0,0,0,3
139,Male,60,319.85,0,1,0,0,0,0,0,0,0,0,3
140,Female,30,251.09375,0,1,1,1,1,0,3,0,0,0,1
141,Male,40,258.51666666666665,0,0,0,0,1,1,0,0,0,0,4
142,Female,30,308.0833333333333,0,0,1,0,0,0,1,1,0,0,2
143,Male,18,229.33333333333334,0,1,0,0,0,0,0,0,0,0,3
144,Male,35,309.3333333333333,0,1,0,0,0,0,0,0,0,0,3
145,Male,30,247.98333333333332,0,0,1,0,0,3,1,0,0,0,2
146,Male,25,0,0,0,0,0,0,0,0,0,1,0,4
147,Male,18,245.88333333333333,0,1,0,0,0,0,0,0,0,0,3
148,Male,45,297.9,0,1,0,0,0,0,1,1,0,0,3
149,Male,40,179.05,0,0,0,0,1,0,0,0,0,0,4
150,Male,50,0,0,0,0,0,0,0,0,1,0,0,4
151,Male,18,0,0,0,0,0,0,0,0,0,1,0,4
152,Female,18,218.6,0,1,0,0,0,0,0,1,0,0,3
153,Male,45,340.3666666666667,0,0,1,0,0,0,0,0,0,0,2
154,Male,30,360.8333333333333,0,1,0,0,0,0,0,0,0,1,3
155,Male,25,258.68333333333334,0,1,0,0,0,0,0,0,0,0,3
156,Female,40,0,0,0,0,0,0,0,0,0,1,0,4
157,Male,40,209.75,0,0,0,1,1,2,5,1,1,1,4
158,Male,30,0,0,0,0,0,0,0,0,0,2,0,4
159,Male,25,356.06666666666666,0,0,0,1,0,0,0,0,0,0,4
160,Male,30,138.71666666666667,0,0,0,0,1,0,0,0,0,0,4
161,Female,25,249.5,0,0,1,0,0,0,0,0,1,0,2
162,Female,30,274.44166666666666,0,0,0,1,1,1,1,0,1,0,4
163,Male,40,0,0,1,0,0,0,0,0,0,0,0,3
164,Male,50,0,0,0,0,0,0,0,0,0,1,0,4
165,Female,30,273.73333333333335,0,0,1,0,0,0,0,0,0,0,2
166,Male,40,242.2,0,1,0,0,0,0,0,0,0,0,3
167,Female,60,389.25,0,0,1,0,0,0,0,0,0,0,2
168,Male,40,272.51666666666665,0,0,0,0,1,1,0,1,0,0,4
169,Male,25,226.55,0,0,0,1,0,0,0,0,0,0,4
170,Male,30,237.81666666666666,0,0,0,0,1,3,1,1,0,1,4
171,Male,50,255.58333333333334,0,0,0,1,0,1,1,0,0,0,4
172,Male,30,177.91666666666666,0,0,0,1,0,6,6,0,0,0,4
173,Male,40,290.8,0,0,1,0,0,0,0,0,0,0,2
174,Female,45,400.75,0,1,0,0,0,0,0,0,0,0,3
175,Male,25,388.8,0,1,0,0,0,0,0,0,0,0,3
176,Male,35,259.89166666666665,0,1,1,0,0,0,0,0,0,0,1
177,Female,25,0,0,0,0,0,0,0,0,0,1,0,4
178,Male,30,0,0,0,0,0,0,0,0,0,1,0,4
179,Female,13,0,0,0,0,0,0,0,0,0,1,0,4
180,Male,30,0,0,0,0,0,0,0,0,0,1,0,4
181,Male,40,289.76666666666665,0,0,1,0,0,1,0,1,0,0,2
182,Female,50,248.41666666666666,0,1,0,0,0,0,0,0,0,0,3
183,Male,65,336.0,0,0,1,0,0,0,0,0,0,0,2
184,Male,25,272.81666666666666,0,1,0,0,0,0,0,0,0,0,3
185,Female,40,265.35833333333335,0,1,0,1,1,0,3,0,0,0,3
186,Male,35,224.4,0,0,0,0,1,0,0,1,0,1,4
187,Male,40,0,0,0,0,1,0,2,0,0,0,0,4
188,Male,18,375.73333333333335,0,1,0,0,0,0,0,0,0,0,3
189,Male,55,248.18333333333334,0,1,0,1,1,0,3,0,0,0,3
190,Female,30,227.38333333333333,0,0,1,0,0,0,1,0,0,1,2
191,Male,40,347.28333333333336,0,0,1,0,0,0,0,0,0,0,2
192,Male,40,292.56666666666666,0,0,1,0,0,0,0,0,1,0,2
193,Male,30,297.25,0,1,0,1,0,0,0,1,0,0,3
194,Male,20,233.05,0,0,0,0,1,2,0,0,0,0,4
195,Male,18,317.6333333333333,0,1,0,0,0,0,0,0,0,0,3
196,Male,40,304.1166666666667,0,0,1,0,0,0,0,0,0,0,2
197,Male,35,245.85,0,0,0,1,1,1,1,2,0,0,4
198,Female,35,0,0,0,0,1,0,1,1,2,1,0,4
199,Female,45,259.6333333333333,0,0,0,1,0,0,0,0,0,0,4
200,Male,40,0,0,0,0,0,0,0,0,0,1,0,4
201,Male,45,0,0,0,0,0,0,0,0,0,1,0,4
202,Male,50,265.5625,1,0,1,1,1,2,1,2,1,0,2
203,Male,20,0,0,0,0,0,0,0,1,1,2,0,4
204,Male,40,367.35,0,1,0,0,0,0,0,0,0,0,3
205,Male,40,191.80833333333334,0,0,1,1,0,0,1,0,0,1,2
206,Female,50,237.6,0,0,0,1,0,0,1,0,0,0,4
207,Male,40,246.25833333333333,1,0,1,0,2,2,2,2,1,1,2
208,Male,35,260.9166666666667,0,0,1,0,0,0,0,1,0,0,2
209,Female,40,0,0,0,0,0,0,0,0,0,1,0,4
210,Female,30,253.6,0,0,0,1,0,1,0,0,0,0,4
211,Female,18,0,0,0,0,0,0,0,0,0,1,0,4
212,Male,40,240.6,0,0,0,0,1,0,2,1,0,0,4
213,Male,30,292.28333333333336,0,1,0,0,0,0,0,0,0,0,3
214,Female,18,254.91666666666666,0,0,0,1,0,1,1,0,0,0,4
215,Female,45,292.3666666666667,0,1,0,0,1,0,0,0,0,0,3
216,Male,18,380.5,0,0,1,0,0,0,0,0,0,0,2
217,Male,30,328.31666666666666,0,1,0,0,0,1,1,2,1,0,3
218,Female,35,337.5833333333333,0,0,1,0,0,0,0,0,0,0,2
219,Female,35,0,0,0,0,0,0,0,0,0,1,0,4
220,Female,25,310.31666666666666,0,0,1,0,0,0,0,0,0,0,2
221,Male,35,336.48333333333335,0,1,1,1,0,0,0,1,0,0,1
222,Male,35,282.65,0,0,0,0,1,0,1,0,0,0,4
223,Male,30,194.38333333333333,0,0,0,1,0,0,0,0,0,0,4
224,Male,40,280.3666666666667,0,0,1,0,0,0,0,0,1,0,2
225,Female,45,277.78333333333336,0,0,0,0,1,0,0,0,0,0,4
226,Male,45,328.21666666666664,0,1,0,0,0,0,0,0,0,0,3
227,Female,30,0,0,0,0,0,0,0,0,0,2,0,4
228,Male,25,237.78333333333333,0,0,0,1,0,0,1,0,0,0,4
229,Male,30,325.81666666666666,0,0,1,0,0,1,2,1,0,0,2
230,Male,25,288.5833333333333,0,1,0,0,0,0,0,0,0,0,3
231,Male,16,227.0,0,0,0,0,1,5,0,0,0,0,4
232,Male,18,194.33333333333334,0,1,0,0,0,0,0,0,0,0,3
233,Male,35,279.85,0,0,1,0,0,1,0,0,0,0,2
234,Male,15,305.03333333333336,0,0,1,0,0,0,0,0,0,0,2
235,Female,25,373.5833333333333,0,1,0,0,0,0,0,0,0,0,3
236,Female,18,287.9916666666667,0,0,1,1,0,0,1,1,2,0,2
237,Male,45,283.81666666666666,0,0,0,1,0,0,1,1,0,0,4
238,Male,50,301.6333333333333,0,0,0,1,0,0,0,0,0,0,4
239,Male,40,298.05,0,1,0,0,0,0,0,0,0,0,3
240,Female,30,239.08333333333334,0,0,0,1,0,0,0,1,0,0,4
241,Male,30,266.98333333333335,0,0,0,1,0,0,0,0,0,0,4
242,Male,50,276.85,0,0,0,0,1,0,0,0,0,0,4
243,Male,50,215.21666666666667,0,0,0,0,1,0,0,0,0,0,4
244,Male,35,284.56666666666666,0,0,1,0,0,0,0,0,0,0,2
245,Male,18,264.65,0,1,0,0,0,0,0,0,0,0,3
246,Female,20,238.91666666666666,0,0,0,1,0,0,2,1,0,0,4
247,Male,35,239.08333333333334,0,0,1,0,0,2,2,2,1,0,2
248,Female,40,297.1666666666667,0,1,0,0,0,0,0,0,1,0,3
249,Female,25,257.98333333333335,0,0,0,1,0,1,0,0,1,1,4
250,Female,25,252.23333333333332,0,1,0,0,0,0,0,0,0,0,3
251,Male,50,0,0,0,0,0,0,0,0,1,0,0,4
252,Female,40,254.4,0,0,0,1,0,0,0,0,0,0,4
253,Male,45,0,0,0,0,0,0,0,0,0,1,0,4
254,Male,30,291.76666666666665,0,1,0,0,0,0,0,0,0,0,3
255,Male,18,330.73333333333335,0,0,1,0,0,0,0,0,0,0,2
256,Male,40,309.8333333333333,0,1,0,0,0,0,0,0,0,0,3
257,Female,40,273.96666666666664,0,0,0,0,1,0,0,0,1,0,4
258,Male,45,230.16666666666669,0,1,0,1,0,2,3,2,0,0,3
259,Male,35,279.0,0,0,1,0,0,2,0,1,2,1,2
260,Male,18,337.55,0,0,1,1,0,0,0,1,0,0,2
261,Female,50,374.7166666666667,0,1,0,0,0,0,0,0,0,0,3
262,Male,45,290.46666666666664,0,1,0,0,0,0,0,0,0,0,3
263,Male,18,291.76666666666665,0,0,1,0,0,0,0,0,0,0,2
264,Male,30,306.53333333333336,0,0,1,0,0,0,0,0,0,0,2
265,Male,35,249.77499999999998,0,1,1,0,0,0,0,0,0,0,1
266,Male,60,275.275,0,0,1,1,0,0,0,0,0,0,2
267,Male,40,0,0,0,0,1,0,0,0,0,0,0,4
268,Male,15,362.6166666666667,0,0,1,0,0,0,0,0,0,0,2
269,Male,25,210.66666666666666,0,1,0,0,0,0,0,0,0,0,3
270,Male,40,257.5,0,1,0,0,0,0,2,2,0,1,3
271,Male,30,0,0,0,0,0,0,0,0,0,1,0,4
272,Male,30,241.01666666666668,0,1,0,0,0,0,0,0,1,0,3
273,Male,55,0,0,0,0,0,0,0,0,0,1,0,4
274,Male,15,244.43333333333334,0,1,0,0,0,0,1,0,0,0,3
275,Male,60,226.61666666666667,0,0,0,1,1,0,0,0,0,0,4
276,Female,50,294.3833333333333,0,0,1,0,0,0,0,0,0,0,2
277,Male,50,305.76666666666665,0,1,0,0,0,0,0,0,0,0,3
278,Male,35,198.13333333333333,0,1,0,0,0,0,0,0,0,0,3
279,Male,40,0,0,0,0,0,0,0,0,0,1,0,4
280,Male,40,260.6666666666667,0,0,0,1,0,1,0,0,0,0,4
281,Male,30,262.28333333333336,0,1,0,0,0,0,0,0,0,0,3
282,Male,35,210.69166666666666,1,1,1,0,1,0,1,0,1,1,1
283,Male,18,300.8666666666667,0,1,0,0,0,0,0,0,0,0,3
284,Female,30,297.6,0,1,0,0,0,0,1,1,0,0,3
285,Male,50,307.95,0,0,1,0,0,0,0,0,0,0,2
286,Male,55,257.3,0,0,0,1,0,1,2,1,0,0,4
287,Male,40,210.85,0,1,0,0,0,0,0,0,0,0,3
288,Male,35,205.91666666666666,0,0,1,0,0,0,0,0,0,0,2
289,Male,35,0,0,0,1,0,0,0,0,0,0,0,2
290,Male,55,284.21666666666664,0,1,0,0,0,0,0,0,0,0,3
291,Male,40,280.1166666666667,0,1,0,0,0,0,2,3,0,0,3
292,Male,60,0,0,0,0,0,0,0,0,0,1,0,4
293,Male,18,274.51666666666665,0,0,0,0,1,0,0,0,0,0,4
294,Male,50,291.96666666666664,0,0,0,1,0,0,0,0,0,0,4
295,Female,30,317.21666666666664,0,0,1,0,0,0,0,0,0,0,2
296,Male,40,240.49166666666667,0,0,0,1,1,0,0,0,0,0,4
297,Male,25,0,0,0,0,0,0,0,0,0,1,0,4
298,Male,35,262.95,0,1,0,0,0,0,0,0,0,0,3
299,Female,50,313.1666666666667,0,1,0,0,0,1,1,0,0,0,3
300,Male,25,0,0,0,0,0,0,0,0,0,1,0,4
301,Female,30,283.0833333333333,0,0,1,0,0,0,0,0,0,0,2
302,Male,25,0,0,0,0,0,0,1,0,3,3,4,4
303,Male,50,301.28333333333336,0,1,0,0,0,0,0,0,1,0,3
304,Male,25,321.98333333333335,0,0,1,0,0,0,0,0,0,0,2
305,Male,18,248.11666666666667,0,0,0,0,1,0,0,0,0,0,4
306,Male,35,276.71666666666664,0,1,0,0,0,0,0,0,0,0,3
307,Male,18,227.25,0,0,0,1,1,0,0,0,0,0,4
308,Male,35,276.6666666666667,0,1,0,0,0,0,0,0,0,0,3
309,Male,35,252.83333333333334,0,1,0,0,0,0,0,0,0,0,3
310,Female,18,285.1666666666667,0,0,0,0,1,0,1,0,0,0,4
311,Male,13,0,0,0,0,0,0,0,0,0,1,0,4
312,Female,25,256.8833333333333,0,0,0,0,1,0,0,0,0,0,4
313,Male,40,371.51666666666665,0,1,0,0,0,0,0,0,0,0,3
314,Male,40,191.58333333333334,0,1,0,0,0,0,0,0,0,0,3
315,Male,20,220.59166666666667,0,0,0,0,1,3,5,7,3,0,4
316,Male,35,328.5833333333333,0,1,0,0,0,1,0,0,0,0,3
317,Female,35,281.81666666666666,0,0,0,1,0,1,2,0,0,0,4
318,Male,35,287.53333333333336,0,1,0,0,0,0,0,0,0,0,3
319,Male,40,206.14166666666665,0,1,0,1,1,1,1,0,0,0,3
320,Male,35,254.86666666666667,0,1,0,0,0,0,0,0,0,0,3
321,Male,40,220.59583333333333,0,0,1,1,1,0,0,0,0,0,2
322,Male,30,251.33333333333334,0,0,0,1,0,1,3,6,2,1,4
323,Male,30,197.16666666666666,0,0,0,0,1,1,4,3,3,0,4
324,Female,18,0,0,0,0,0,0,0,0,0,1,0,4
325,Male,35,0,0,0,0,0,0,0,0,0,1,0,4
326,Male,40,357.98333333333335,0,1,0,0,0,0,0,0,0,0,3
327,Female,30,312.1666666666667,0,0,1,0,0,0,0,0,0,0,2
328,Male,30,392.4,0,0,1,0,0,0,1,1,0,0,2
329,Male,35,272.26666666666665,0,0,1,0,0,0,0,0,0,0,2
330,Male,18,286.45,0,1,0,0,0,0,0,0,0,0,3
331,Male,20,247.09166666666667,0,0,1,0,1,0,6,6,4,4,2
332,Female,40,268.06666666666666,0,0,1,0,1,6,4,6,10,2,2
333,Male,30,186.63333333333333,0,0,0,1,0,0,0,0,0,0,4
334,Male,35,230.28333333333333,0,0,1,0,0,1,0,0,0,0,2
335,Male,30,303.6333333333333,0,1,0,0,0,1,1,1,0,0,3
336,Male,45,322.0416666666667,0,0,0,1,0,0,0,0,0,0,4
337,Male,40,201.90833333333333,0,1,0,1,0,1,0,0,0,0,3
338,Male,55,0,0,0,0,0,0,0,0,0,1,0,4
339,Male,30,260.53333333333336,0,1,0,0,0,0,0,0,0,0,3
340,Male,25,0,0,0,0,0,0,0,0,1,0,0,4
341,Female,35,229.06666666666666,0,1,0,0,0,1,0,0,0,0,3
342,Male,55,227.87083333333334,1,0,1,0,0,0,0,0,2,0,2
343,Male,25,198.22500000000002,0,0,0,1,0,0,1,1,0,0,4
344,Male,30,270.31666666666666,0,0,0,0,1,1,2,0,0,0,4
345,Female,25,247.26666666666668,0,0,0,0,1,2,2,1,0,0,4
346,Male,25,294.7,0,1,0,0,0,0,0,0,0,0,3
347,Male,30,331.9,0,0,0,1,0,0,3,0,0,0,4
348,Female,18,412.65,0,0,1,0,0,0,1,0,2,0,2
349,Male,30,250.71666666666667,0,0,0,1,0,2,0,2,5,4,4
350,Male,35,222.06666666666666,0,0,0,1,1,0,1,0,0,0,4
351,Male,25,0,0,0,0,0,0,0,0,0,1,0,4
352,Male,35,250.23333333333332,0,0,0,1,0,0,0,0,0,0,4
353,Female,20,442.01666666666665,0,1,1,0,0,0,1,2,0,0,1
354,Male,55,220.35,0,0,1,0,0,0,0,0,0,0,2
355,Male,40,296.98333333333335,0,1,0,0,0,0,1,2,0,0,3
356,Male,35,291.0833333333333,0,1,0,0,0,0,0,0,0,0,3
357,Male,35,228.96666666666667,0,0,0,0,1,1,0,1,0,0,4
358,Male,50,221.16666666666666,0,0,0,0,1,0,0,0,0,0,4
359,Male,35,229.58333333333334,0,0,1,0,0,1,2,2,3,0,2
360,Male,30,292.93333333333334,0,1,0,0,0,0,0,0,0,0,3
361,Male,30,0,0,0,0,0,0,0,0,0,1,0,4
362,Male,25,274.6,0,1,0,0,0,0,0,0,0,0,3
363,Female,35,268.6666666666667,0,0,0,0,1,1,0,0,0,0,4
364,Female,35,230.2,0,0,0,1,0,1,1,0,0,0,4
365,Male,18,0,0,0,0,0,0,0,0,0,1,0,4
366,Female,45,0,0,0,0,0,0,0,0,0,1,0,4
367,Male,30,0,0,0,0,1,0,1,0,0,0,0,4
368,Male,40,282.7,0,0,0,0,1,0,0,0,0,0,4
369,Male,30,239.2,0,1,0,0,0,0,0,0,0,0,3
370,Male,35,295.3,0,0,1,0,0,0,0,0,0,0,2
371,Male,40,234.3,0,0,0,1,0,0,0,0,3,0,4
372,Female,35,380.06666666666666,0,0,1,0,0,0,0,0,0,0,2
373,Female,55,321.68333333333334,0,1,0,0,0,0,0,0,0,0,3
374,Male,40,0,0,0,0,0,0,0,0,0,2,0,4
375,Male,20,251.36666666666667,0,0,1,0,0,2,0,0,0,0,2
376,Male,25,204.26666666666668,0,0,1,0,0,0,0,0,0,0,2
377,Male,60,204.75,0,0,0,1,0,0,0,0,0,0,4
378,Male,30,332.1166666666667,0,0,0,1,0,0,0,0,0,0,4
379,Male,50,296.81666666666666,0,1,1,1,0,0,1,2,2,0,1
380,Male,30,393.76666666666665,0,1,0,0,0,0,0,0,0,0,3
381,Male,35,293.25,0,1,0,0,0,0,0,0,1,0,3
382,Male,45,326.28333333333336,0,1,0,0,0,0,0,0,0,0,3
383,Female,25,281.0833333333333,0,0,0,1,0,0,2,0,1,1,4
384,Male,50,0,0,0,0,0,0,0,0,0,0,2,4
385,Male,50,0,0,0,0,0,0,0,0,2,0,0,4
386,Male,18,0,0,0,0,0,0,0,0,0,1,0,4
387,Male,45,239.97500000000002,0,0,1,0,1,2,3,5,3,0,2
388,Male,40,0,0,0,0,0,0,0,0,2,0,0,4
389,Male,25,304.3333333333333,0,0,1,0,0,0,0,0,0,0,2
390,Male,40,0,0,0,0,0,0,0,0,0,1,0,4
391,Male,30,0,0,1,0,0,0,0,0,0,0,0,3
392,Male,35,0,0,0,0,0,0,0,0,0,1,0,4
393,Female,40,231.9,0,1,0,0,0,0,0,0,0,1,3
394,Male,19,240.03333333333333,0,1,0,0,0,4,2,0,0,1,3
